In which children’s book did a spider called Charlotte and a pig called Wilbur appear?|charlotte’s web
What’s the biggest animal in the world?|blue whale
How many of Henry VIII’s wives were called Catherine?|three
What is the most popular baby boys name as of 2021?|oliver
From which US city do the band The Killers originate?|las vegas
What is the name of the coffee shop in the US sitcom, Friends?|central perk
Who is currently (Oct 2022) the second in line to the throne?|prince george of wales
Which planet has a pink sky?|mars
What is the smallest planet in our solar system?|mercury
Which fashion designer reportedly had a relationship with Winston Churchill?|coco chanel
Which nut is in the middle of a Ferrero Rocher?|hazelnut
Which UK city is well known street artist, Banksy, from?|bristol
Who wrote the novels Sharp Objects and Gone Girl?|gillian flynn
What is both a French wine region and a luxury American vehicle?|cadillac
What colour is found on 75% of the world’s flags?|red
Name the three latest actors who have played Spiderman?|tobey maguire, andrew garfield, tom holland
What is the name of the evil headteacher in Matilda?|miss trunchbull
After their recent split in 2021, how many years were famous couple Kim Kardashian and Kanye West married?|7
Who wrote The Catcher In The Rye?|jd salinger
Which kids TV show gave Britney Spears, Justin Timberlake and Christina Aguilera their big break?|mickey mouse club
What was the most downloaded app of 2020?|tiktok
What was the 2021 TV program called that Adele starred in?|an audience with adele
Babies of which animals are known as Joeys?|koalas, kangeroos
Which notable big cat lover recently took control of the zoo featured on the hit Netflix series ‘Tiger King’?|carole baskin
Which Italian city is Shakespeare’s Romeo and Juliet set?|verona
